"old_url","new_path","type"
"https://www.paulcee.co.uk/blog/?minelab-equinox-carbon-shaft-review","/blog/minelab-equinox-carbon-shaft-review/","post"
"https://www.paulcee.co.uk/blog/?minelab-vanquish-440-beach-detecting","/blog/minelab-vanquish-440-beach-detecting/","post"
"https://www.paulcee.co.uk/blog/?minelab-vanquish-beginners-learning","/blog/minelab-vanquish-beginners-learning/","post"
"https://www.paulcee.co.uk/blog/?minelab-vanquish-440-beach-detecting-uk","/blog/minelab-vanquish-440-beach-detecting-uk/","post"
"https://www.paulcee.co.uk/blog/?vanquish-vs-simplex-beach-detecting","/blog/vanquish-vs-simplex-beach-detecting/","post"
"https://www.paulcee.co.uk/blog/?minelab-vanquish-pin-pointing-method","/blog/minelab-vanquish-pin-pointing-method/","post"
"https://www.paulcee.co.uk/blog/?minelab-vanquish-340-discrimination-settings","/blog/minelab-vanquish-340-discrimination-settings/","post"
"https://www.paulcee.co.uk/blog/?minelab-ctx-3030-beach-program","/blog/minelab-ctx-3030-beach-program/","post"
"https://www.paulcee.co.uk/blog/?ctx-3030-beach-metal-detecting-deep-gold","/blog/ctx-3030-beach-metal-detecting-deep-gold/","post"
"https://www.paulcee.co.uk/blog/?metal-detecting-uk-beach-gold","/blog/metal-detecting-uk-beach-gold/","post"
"https://www.paulcee.co.uk/blog/?coiltek-14x9-ctx3030-coil","/blog/coiltek-14x9-ctx3030-coil/","post"
"https://www.paulcee.co.uk/blog/?ctx3030-silver-coins-beach-detecting","/blog/ctx3030-silver-coins-beach-detecting/","post"
"https://www.paulcee.co.uk/blog/?metal-detecting-and-treasure-hunting-finds","/blog/metal-detecting-and-treasure-hunting-finds/","post"
"https://www.paulcee.co.uk/blog/?metal-detecting-beach-uk-finds","/blog/metal-detecting-beach-uk-finds/","post"
"https://www.paulcee.co.uk/blog/?good-finds-metal-detecting-uk","/blog/good-finds-metal-detecting-uk/","post"
"https://www.paulcee.co.uk/blog/?armani-and-diamonds-metal-detecting-bournemouth","/blog/armani-and-diamonds-metal-detecting-bournemouth/","post"
"https://www.paulcee.co.uk/blog/?hammered-coins-found-metal-detecting","/blog/hammered-coins-found-metal-detecting/","post"
"https://www.paulcee.co.uk/blog/?ctx-3030-and-17-inch-coil","/blog/ctx-3030-and-17-inch-coil/","post"
"https://www.paulcee.co.uk/blog/?minelab-vanquish-sensitivity-settings","/blog/minelab-vanquish-sensitivity-settings/","post"
"https://www.paulcee.co.uk/blog/?metal-detecting-best-finds","/blog/metal-detecting-best-finds/","post"
"https://www.paulcee.co.uk/blog/?minelab-vanquish-340-or-vanquish-540","/blog/minelab-vanquish-340-or-vanquish-540/","post"
"https://www.paulcee.co.uk/blog/?minelab-vanquish-340-metal-detecting","/blog/minelab-vanquish-340-metal-detecting/","post"
"https://www.paulcee.co.uk/blog/?metal-detecting-uk-beach","/blog/metal-detecting-uk-beach/","post"
"https://www.paulcee.co.uk/blog/?lakeside-nature-reserve","/blog/lakeside-nature-reserve/","post"
"https://www.paulcee.co.uk/blog/?best-sand-scoops-for-metal-detecting-beach","/blog/best-sand-scoops-for-metal-detecting-beach/","post"
"https://www.paulcee.co.uk/blog/?detecting-storm-ciara","/blog/detecting-storm-ciara/","post"
"https://www.paulcee.co.uk/blog/?minelab-vanquish-540","/blog/minelab-vanquish-540/","post"
"https://www.paulcee.co.uk/blog/?minelab-vanquish-beach","/blog/minelab-vanquish-beach/","post"
"https://www.paulcee.co.uk/blog/?old-maps-for-metal-detecting","/blog/old-maps-for-metal-detecting/","post"
"https://www.paulcee.co.uk/blog/?how-to-update-minelab-equinox","/blog/how-to-update-minelab-equinox/","post"
"https://www.paulcee.co.uk/blog/?minelab-vanquish-setup","/blog/minelab-vanquish-setup/","post"
"https://www.paulcee.co.uk/blog/?equinox-update-2019-test","/blog/equinox-update-2019-test/","post"
"https://www.paulcee.co.uk/blog/?minelab-vanquish-540-test","/blog/minelab-vanquish-540-test/","post"
"https://www.paulcee.co.uk/blog/?minelab-vanquish","/blog/minelab-vanquish/","post"
"https://www.paulcee.co.uk/blog/?equinox-power-bank","/blog/equinox-power-bank/","post"
"https://www.paulcee.co.uk/blog/?cut-hammered-coins","/blog/cut-hammered-coins/","post"
"https://www.paulcee.co.uk/blog/?celtic-silver-coin","/blog/celtic-silver-coin/","post"
"https://www.paulcee.co.uk/blog/?jersey-liberation-coins","/blog/jersey-liberation-coins/","post"
"https://www.paulcee.co.uk/blog/?ctx3030-beach-detecting-deep-old-coins-and-ring","/blog/ctx3030-beach-detecting-deep-old-coins-and-ring/","post"
"https://www.paulcee.co.uk/blog/?equinox-800-5-hammered-coins","/blog/equinox-800-5-hammered-coins/","post"
"https://www.paulcee.co.uk/blog/?more-gold-from-the-beach-with-the-ctx3030","/blog/more-gold-from-the-beach-with-the-ctx3030/","post"
"https://www.paulcee.co.uk/blog/?ctx3030-and-the-6-coil-beach-detecting-in-iron","/blog/ctx3030-and-the-6-coil-beach-detecting-in-iron/","post"
"https://www.paulcee.co.uk/blog/?good-gold-ring-beach-metal-detect","/blog/good-gold-ring-beach-metal-detect/","post"
"https://www.paulcee.co.uk/blog/?gold-coins-ring-bullet-beach-metal-detecting","/blog/gold-coins-ring-bullet-beach-metal-detecting/","post"
"https://www.paulcee.co.uk/blog/?where-to-metal-detect-cuts-on-the-beach-seahunter-mk2-ctx-3030-settings","/blog/where-to-metal-detect-cuts-on-the-beach-seahunter-mk2-ctx-3030-settings/","post"
"https://www.paulcee.co.uk/blog/?ctx3030-and-xp-deus-metal-detecting-skegness-lincolnshire","/blog/ctx3030-and-xp-deus-metal-detecting-skegness-lincolnshire/","post"
"https://www.paulcee.co.uk/blog/?gold-ring-and-big-silver-coin-purse-finds","/blog/gold-ring-and-big-silver-coin-purse-finds/","post"
"https://www.paulcee.co.uk/blog/?ctx3030-and-xpdeus-beach-metal-detecting","/blog/ctx3030-and-xpdeus-beach-metal-detecting/","post"
"https://www.paulcee.co.uk/blog/?rings-and-coins-water-beach-detecting-ctx3030","/blog/rings-and-coins-water-beach-detecting-ctx3030/","post"
"https://www.paulcee.co.uk/blog/?ring-from-lincolnshire-beach-with-the-ctx3030-anderson-neptune-carbon-fiber-shaft-t-rex","/blog/ring-from-lincolnshire-beach-with-the-ctx3030-anderson-neptune-carbon-fiber-shaft-t-rex/","post"
"https://www.paulcee.co.uk/blog/?ring-from-the-beach-metal-detecting-with-the-minelab-ctx-3030","/blog/ring-from-the-beach-metal-detecting-with-the-minelab-ctx-3030/","post"
"https://www.paulcee.co.uk/blog/?detecting-beaches-with-the-ctx3030-and-garrett-seahunter-mkii","/blog/detecting-beaches-with-the-ctx3030-and-garrett-seahunter-mkii/","post"
"https://www.paulcee.co.uk/blog/?beach-metal-detecting-lincolnshire","/blog/beach-metal-detecting-lincolnshire/","post"
"https://www.paulcee.co.uk/blog/?gold-rings-and-some-coins-with-the-ctx3030-on-the-beach","/blog/gold-rings-and-some-coins-with-the-ctx3030-on-the-beach/","post"
"https://www.paulcee.co.uk/blog/?anderson-neptune-carbon-fibre-scoop-handle-t-rex-scoop","/blog/anderson-neptune-carbon-fibre-scoop-handle-t-rex-scoop/","post"
"https://www.paulcee.co.uk/blog/?deus-fitted-with-the-anderson-carbon-fibre-custom-straight-shaft","/blog/deus-fitted-with-the-anderson-carbon-fibre-custom-straight-shaft/","post"
"https://www.paulcee.co.uk/blog/?beach-metal-detecting-garrett-atx-seahunter-mk2-minelab-ctx3030","/blog/beach-metal-detecting-garrett-atx-seahunter-mk2-minelab-ctx3030/","post"
"https://www.paulcee.co.uk/blog/?mals-surffones","/blog/mals-surffones/","post"
"https://www.paulcee.co.uk/blog/?garrett-seahunter-mk2-best-settings-for-dry-sand-metal-detecting","/blog/garrett-seahunter-mk2-best-settings-for-dry-sand-metal-detecting/","post"
"https://www.paulcee.co.uk/blog/?lincolnshire-beach-metal-detecting","/blog/lincolnshire-beach-metal-detecting/","post"
"https://www.paulcee.co.uk/blog/?minelab-go-find-40-entry-level-detector-review","/blog/minelab-go-find-40-entry-level-detector-review/","post"
"https://www.paulcee.co.uk/blog/?metal-detecting-jackpot","/blog/metal-detecting-jackpot/","post"
"https://www.paulcee.co.uk/blog/?minelab-equinox-800-vs","/blog/minelab-equinox-800-vs/","post"
